date,demand,sku,supermarket
1/1/2019,93.0,Organic Milk,FreshMart
1/2/2019,93.0,Organic Milk,FreshMart
1/3/2019,94.0,Organic Milk,FreshMart
1/4/2019,95.0,Organic Milk,FreshMart
1/5/2019,92.0,Organic Milk,FreshMart
1/6/2019,87.0,Organic Milk,FreshMart
1/7/2019,90.0,Organic Milk,FreshMart
1/8/2019,90.0,Organic Milk,FreshMart
1/9/2019,92.0,Organic Milk,FreshMart
1/10/2019,93.0,Organic Milk,FreshMart
1/11/2019,,Organic Milk,FreshMart
1/12/2019,,Organic Milk,FreshMart
1/13/2019,90.0,Organic Milk,FreshMart
1/14/2019,89.0,Organic Milk,FreshMart
1/15/2019,91.0,Organic Milk,FreshMart
1/16/2019,93.0,Organic Milk,FreshMart
1/17/2019,95.0,Organic Milk,FreshMart
1/18/2019,91.0,Organic Milk,FreshMart
1/19/2019,90.0,Organic Milk,FreshMart
1/20/2019,88.0,Organic Milk,FreshMart
1/21/2019,86.0,Organic Milk,FreshMart
1/22/2019,92.0,Organic Milk,FreshMart
1/23/2019,94.0,Organic Milk,FreshMart
1/24/2019,92.0,Organic Milk,FreshMart
1/25/2019,95.0,Organic Milk,FreshMart
1/26/2019,88.0,Organic Milk,FreshMart
1/27/2019,89.0,Organic Milk,FreshMart
1/28/2019,89.0,Organic Milk,FreshMart
1/29/2019,93.0,Organic Milk,FreshMart
1/30/2019,470.0,Organic Milk,FreshMart
1/31/2019,93.0,Organic Milk,FreshMart
2/1/2019,93.0,Organic Milk,FreshMart
2/2/2019,89.0,Organic Milk,FreshMart
2/3/2019,86.0,Organic Milk,FreshMart
2/4/2019,89.0,Organic Milk,FreshMart
2/5/2019,,Organic Milk,FreshMart
2/6/2019,95.0,Organic Milk,FreshMart
2/7/2019,95.0,Organic Milk,FreshMart
2/8/2019,92.0,Organic Milk,FreshMart
2/9/2019,90.0,Organic Milk,FreshMart
2/10/2019,88.0,Organic Milk,FreshMart
2/11/2019,88.0,Organic Milk,FreshMart
2/12/2019,89.0,Organic Milk,FreshMart
2/13/2019,,Organic Milk,FreshMart
2/14/2019,93.0,Organic Milk,FreshMart
